Datum|Erster|Hoch|Tief|Schlusskurs|Stuecke|Volumen
2017-09-01|13,3882|13,4525|13,0567|13,3931|13.091.482|173.947.920
2017-08-31|13,3585|13,497|13,2744|13,3288|10.809.604|144.522.848
2017-08-30|13,3486|13,4228|13,2051|13,309|7.889.620|105.013.352
2017-08-29|13,4772|13,4772|13,1507|13,1655|16.077.824|212.858.416
2017-08-28|13,596|13,6801|13,5514|13,5663|5.112.762|69.527.064
2017-08-25|13,7048|13,8532|13,6257|13,6504|7.863.647|108.037.064
2017-08-24|13,6999|13,7543|13,5465|13,6603|10.140.901|138.408.576
2017-08-23|13,6652|13,8829|13,5317|13,6553|11.557.534|158.251.938
2017-08-22|13,6751|13,7444|13,5514|13,596|11.796.070|160.706.560
2017-08-21|13,9027|13,9769|13,5861|13,6158|14.112.094|193.436.256
2017-08-18|13,7345|13,9918|13,6108|13,9522|16.452.980|227.586.592
2017-08-17|14,348|14,348|13,9275|13,9621|17.229.786|242.268.176
2017-08-16|14,536|14,6201|14,3975|14,4272|8.271.756|120.030.208
2017-08-15|14,5459|14,6152|14,2886|14,4272|8.640.056|124.918.008
2017-08-14|14,3381|14,6053|14,2985|14,5063|13.266.437|191.990.320
2017-08-11|14,1501|14,2491|13,8087|14,0709|19.323.597|271.717.920
2017-08-10|14,7537|14,7636|14,254|14,2688|18.822.600|271.836.896
2017-08-09|15,0407|15,1099|14,6053|14,724|20.540.182|303.985.184
2017-08-08|15,2039|15,3623|15,0704|15,3029|8.578.865|130.576.456
2017-08-07|15,486|15,5057|15,2831|15,3078|7.930.266|121.799.232
2017-08-04|15,0605|15,486|15,006|15,4761|12.600.149|193.036.976
2017-08-03|14,9467|15,1693|14,8477|15,1198|10.425.458|156.791.360
2017-08-02|15,2039|15,2386|14,9417|14,9813|10.570.302|159.246.176
2017-08-01|15,0308|15,2485|14,8329|15,1545|12.773.306|192.768.144
2017-07-31|15,2584|15,3722|14,8329|14,9318|16.410.219|246.479.696
2017-07-28|15,3078|15,4662|15,1891|15,2485|17.916.862|274.755.136
2017-07-27|15,8323|16,0302|15,3375|15,3623|30.522.899|477.083.712
2017-07-26|16,144|16,4656|16,139|16,426|11.494.251|187.927.088
2017-07-25|15,8818|16,327|15,8521|16,2281|14.458.411|233.961.648
2017-07-24|15,4563|15,857|15,3474|15,8422|12.503.160|196.189.760
2017-07-21|15,6294|15,6542|15,3573|15,4612|15.643.647|241.834.480
2017-07-20|15,8224|15,8966|15,6195|15,674|13.658.450|215.269.232
2017-07-19|15,8422|15,8669|15,6492|15,7779|8.669.838|136.564.976
2017-07-18|16,1687|16,1737|15,6938|15,7729|13.093.360|207.529.904
2017-07-17|16,2974|16,3023|16,0945|16,1786|6.460.232|104.523.144
2017-07-14|16,3815|16,4062|16,0401|16,1984|11.581.244|187.967.136
2017-07-13|16,3023|16,4755|16,2627|16,3468|9.995.221|163.590.416
2017-07-12|16,4359|16,5348|16,1588|16,2677|15.751.217|257.193.696
2017-07-11|16,4804|16,6684|16,3617|16,4161|10.161.541|167.867.920
2017-07-10|16,6239|16,7278|16,3419|16,4062|10.158.073|167.444.944
2017-07-07|16,52|16,6486|16,2776|16,5052|13.470.599|221.733.600
2017-07-06|16,3171|16,6041|16,2182|16,52|17.199.698|282.566.688
2017-07-05|16,1836|16,3567|15,8966|16,1885|15.154.710|245.592.784
2017-07-04|15,7581|16,3716|15,6641|16,2231|13.050.697|210.734.368
2017-07-03|15,486|15,9263|15,4563|15,9263|10.738.098|169.610.400
2017-06-30|15,7135|15,7828|15,3623|15,3623|13.406.033|208.515.728
2017-06-29|15,7977|16,0203|15,6245|15,6591|19.585.256|310.393.056
2017-06-28|15,3425|15,6047|15,2138|15,575|16.184.881|249.579.904
2017-06-27|14,8823|15,4365|14,818|15,3573|15.853.868|241.651.616
2017-06-26|14,818|15,0308|14,8032|14,8823|9.075.104|135.374.144
2017-06-23|14,8774|14,9566|14,7191|14,7438|10.142.505|150.248.416
2017-06-22|14,9961|15,0258|14,7092|14,8873|12.664.600|188.029.008
2017-06-21|15,0011|15,1198|14,7735|15,0357|10.458.993|156.448.288
2017-06-20|15,3276|15,486|15,0555|15,0555|12.049.207|183.556.256
2017-06-19|14,9615|15,2782|14,9318|15,2188|12.556.696|190.052.384
2017-06-16|15,0209|15,1792|14,7191|14,8428|41.934.355|624.264.832
2017-06-15|15,2386|15,2732|14,8823|14,9615|14.816.138|222.176.480
2017-06-14|15,4662|15,5255|15,0753|15,1149|13.890.566|211.878.320
2017-06-13|15,4068|15,481|15,3276|15,4018|7.568.994|116.580.760
2017-06-12|15,6344|15,6789|15,2979|15,2979|10.756.002|165.837.184
2017-06-09|15,486|15,7333|15,3672|15,6492|11.706.419|182.407.264
2017-06-08|15,3375|15,5651|15,1594|15,4612|12.534.682|193.101.280
2017-06-07|15,1396|15,4662|15,0654|15,3227|11.169.601|171.219.792
2017-06-06|15,3326|15,3326|15,1396|15,1693|12.169.797|185.147.056
2017-06-02|15,6344|15,8818|15,3524|15,4266|15.105.006|235.579.728
2017-06-01|15,4365|15,481|15,1693|15,4464|12.997.474|199.526.336
2017-05-31|15,9362|16,0055|15,4117|15,4117|20.929.842|327.688.448
2017-05-30|16,1341|16,2083|15,8867|15,9659|12.686.494|202.861.360
2017-05-29|16,3369|16,3567|16,1489|16,2578|5.158.505|83.805.736
2017-05-26|16,5843|16,6288|16,2034|16,3171|14.294.595|233.642.928
2017-05-25|16,802|16,9306|16,5002|16,6734|7.502.589|125.141.560
2017-05-24|16,9455|16,99|16,6437|16,7723|9.427.389|158.388.576
2017-05-23|16,7525|17,084|16,7278|16,9405|9.160.892|155.128.720
2017-05-22|17,0049|17,1236|16,7426|16,807|9.129.224|154.440.304
2017-05-19|16,6536|16,9306|16,4557|16,9109|16.291.374|272.481.600
2017-05-18|16,5488|16,6368|16,0692|16,446|21.486.399|352.502.048
2017-05-17|16,9598|17,1359|16,4069|16,49|18.795.291|314.167.328
2017-05-16|17,0136|17,2827|16,9794|17,087|11.331.147|194.101.872
2017-05-15|17,0087|17,2338|16,9206|17,1947|10.951.381|187.315.648
2017-05-12|16,9158|17,0283|16,7102|16,8179|10.779.607|181.561.104
2017-05-11|17,1262|17,2191|16,7885|16,9647|12.907.598|219.480.752
2017-05-10|16,9989|17,273|16,6956|17,1115|19.504.605|332.398.016
2017-05-09|17,0674|17,3121|16,9647|16,9647|13.243.682|227.207.920
2017-05-08|17,224|17,273|16,8179|17,0674|15.375.637|261.580.064
2017-05-05|16,7151|17,0919|16,5879|17,043|15.805.564|266.955.472
2017-05-04|16,6319|16,8521|16,4852|16,8277|13.319.381|223.135.072
2017-05-03|16,3237|16,5096|16,2111|16,4411|10.141.563|166.015.712
2017-05-02|16,3384|16,3971|16,216|16,3188|11.098.684|181.053.024
2017-04-28|16,2356|16,446|16,0741|16,1769|15.856.869|257.873.024
2017-04-27|16,4656|16,5977|16,2013|16,3432|21.382.769|350.710.848
2017-04-26|16,6613|16,9892|16,5977|16,9647|17.845.501|300.688.864
2017-04-25|16,6662|16,769|16,4362|16,5781|17.186.209|285.368.320
2017-04-24|15,9029|16,6271|15,9029|16,6271|45.296.567|739.709.632
2017-04-21|15,0955|15,2863|14,9487|15,2325|18.232.353|276.718.816
2017-04-20|14,7285|15,1053|14,6796|15,0074|14.726.638|220.228.208
2017-04-19|14,6062|14,9683|14,5915|14,8753|12.661.721|188.036.912
2017-04-18|14,8215|14,8459|14,3811|14,5817|17.975.001|262.039.440
2017-04-13|14,9291|14,9291|14,7138|14,8019|14.711.155|217.789.600
2017-04-12|15,071|15,2472|14,8459|14,9585|15.205.243|228.602.720
2017-04-11|15,1738|15,2129|14,8557|14,9781|14.551.606|218.841.392
2017-04-10|15,2227|15,3059|15,0661|15,2178|11.091.064|168.675.872
2017-04-07|15,1982|15,4723|15,0563|15,1982|15.046.154|229.176.800
2017-04-06|15,1689|15,3842|14,9878|15,345|12.316.847|187.466.080
2017-04-05|15,3744|15,5603|15,208|15,3108|16.472.690|253.500.944
2017-04-04|15,0221|15,2619|14,7774|15,2619|49.527.248|742.314.048
2017-04-03|15,5946|15,6827|15,2619|15,3646|20.517.472|316.785.248
2017-03-31|15,6973|15,805|15,4723|15,805|19.187.693|301.086.656
2017-03-30|15,805|15,8833|15,3842|15,6925|15.594.436|242.795.680
2017-03-29|15,6876|15,9322|15,4918|15,8197|21.873.707|345.256.512
2017-03-28|15,208|15,6582|15,1738|15,6142|17.007.579|262.669.696
2017-03-27|15,0368|15,1836|14,7921|15,1738|15.091.756|226.444.336
2017-03-24|15,3744|15,5506|15,1591|15,2031|13.506.709|207.032.576
2017-03-23|15,4184|15,4282|15,2227|15,4233|17.330.851|265.966.864
2017-03-22|15,4576|15,5799|15,3353|15,394|19.048.749|294.249.312
2017-03-21|15,1248|16,1182|15,0906|15,6631|42.143.155|657.693.760
2017-03-20|15,6173|15,7686|15,159|15,3014|53.397.280|822.107.136
2017-03-17|16,04|16,3069|15,7819|15,8932|21.354.761|341.601.152
2017-03-16|16,3737|16,4627|16,0489|16,1334|14.833.745|241.034.560
2017-03-15|16,1868|16,4538|16,1601|16,2892|9.252.358|150.855.056
2017-03-14|16,3069|16,3114|16,0533|16,1468|10.796.239|174.323.648
2017-03-13|16,4182|16,4271|16,1156|16,3381|9.487.394|154.798.528
